/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
10.42.0.246 - - [09/Dec/2025:21:05:02 +0000] "GET /media/f44d991b3c38405967260c8dfbd8dd7e8befcada2bc587334a5cb1ea.jpg HTTP/1.1" 304 0 "http://10.42.0.11:1000/bun" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:05:02 +0000] "GET /media/09e903535fc2e5e4f99c43f7781be8b0441538e6ed9d789efa7421e1.jpg HTTP/1.1" 304 0 "http://10.42.0.11:1000/bun" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:05:02 +0000] "GET /media/ce926478ef84eed7aa08abf3d5fc3191fb99e818af7d8f67d9c406ea.jpg HTTP/1.1" 304 0 "http://10.42.0.11:1000/bun" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:05:02 +0000] "GET /media/6fc9fbb88b0d35d47810432f53993cffda518314134c4a8ccfcd0711.jpg HTTP/1.1" 304 0 "http://10.42.0.11:1000/bun" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:05:02 +0000] "GET /media/e4e3a66a7224c574a68278f9e981f99de93f334c5617e84236d0253d.jpg HTTP/1.1" 304 0 "http://10.42.0.11:1000/bun" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:05:02 +0000] "GET /media/de5752985244cca86810bdd242d8359162c7a8e5e4d80a7f42e31b52.jpg HTTP/1.1" 304 0 "http://10.42.0.11:1000/bun" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:05:02 +0000] "GET /media/db4e528661271276393d879f94905146fdb20a8336f6b84f2121658e.jpg HTTP/1.1" 304 0 "http://10.42.0.11:1000/bun" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:05:02 +0000] "GET /media/b9ab4dd4792281bd5626be0b05af92848e00d55354a76d5c01f18902.jpg HTTP/1.1" 304 0 "http://10.42.0.11:1000/bun" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:05:04 +0000] "GET /survey HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:05:04 +0000] "GET /_stcore/stream HTTP/1.1" 101 276940 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:05:04 +0000] "GET /node_modules/@sveltejs/kit/src/runtime/client/entry.js HTTP/1.1" 304 0 "http://10.42.0.11:1000/survey" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:05:04 +0000] "GET /@fs/home/mzen/tmp/ESN-Personal-Analysis/surveyapp/.svelte-kit/generated/client/app.js HTTP/1.1" 304 0 "http://10.42.0.11:1000/survey" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:05:04 +0000] "GET /favicon.ico HTTP/1.1" 304 0 "http://10.42.0.11:1000/survey" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:06:48 +0000] "GET /survey HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:06:48 +0000] "GET /node_modules/@sveltejs/kit/src/runtime/client/entry.js HTTP/1.1" 304 0 "http://10.42.0.11:1000/survey" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:06:48 +0000] "GET /@fs/home/mzen/tmp/ESN-Personal-Analysis/surveyapp/.svelte-kit/generated/client/app.js HTTP/1.1" 304 0 "http://10.42.0.11:1000/survey" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36"
10.42.0.246 - - [09/Dec/2025:21:06:48 +0000] "GET /favicon.ico HTTP/1.1" 304 0 "http://10.42.0.11:1000/survey" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36"
